file_name,homo_n,lumo_n,max_charge_pos_n,max_charge_neg_n,dipole_n,gibbs_n,elec_en_n,homo_spin_up_o,lumo_spin_up_o,homo_spin_down_o,lumo_spin_down_o,max_charge_pos_o,max_charge_neg_o,max_spin_o,dipole_o,gibbs_o,elec_en_o,homo_spin_up_r,lumo_spin_up_r,homo_spin_down_r,lumo_spin_down_r,max_charge_pos_r,max_charge_neg_r,max_spin_r,dipole_r,gibbs_r,elec_en_r,ion_pot,elec_aff,selfies,smiles
138,,,,,,,,-0.330038,-0.214039,-0.331047,-0.272093,0.27355,-0.477803,0.919433,1.86533,-3059.03565322,-3059.252350026867,,,,,,,,,,,,,[C][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][Branch1][C][C][Branch1][C][C][C].[Br-1],C[C@@H1](C1=CC=CC=C1)[N+1](C)(C)C.[Br-1]
142,,,,,,,,-0.26591,-0.228335,-0.268068,-0.25291,0.543938,-0.590444,0.327758,15.62022,-4403.13241368,-4403.588131487752,,,,,,,,,,,,,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][/N][=C][/C][O][C][Branch2][Ring1][C][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][Branch2][Ring1][C][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][=Ring2][Ring1][O][N+1][=Branch1][C][=O][O-1].[Br-1],C[N+1](C)(C)CC(=O)N/N=C/C=1OC(C2=C(O)C=CC3=CC=CC=C23)=C(C4=C(O)C=CC5=CC=CC=C45)C=1[N+1](=O)[O-1].[Br-1]
144,,,,,,,,-0.309163,-0.20358,-0.309174,-0.289171,0.381596,-0.573886,0.407211,9.92447,-3990.92547471,-3991.411489112819,,,,,,,,,,,,,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][N][C][=Branch2][Ring1][C][=C][C][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],C[N+1](C)(C)CC(=O)NNC(=CCC(=O)NCCC1=CC=CC=C1)CC(=O)C2=CC=CC=C2.[Br-1]
147,,,,,,,,-0.308302,-0.187024,-0.294995,-0.289394,0.455438,-0.613386,0.436952,8.50553,-3714.5579839,-3715.061048917336,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O].[Br-1],CCCCCCCCCC[N+1](C)(C)C[C@H1](O)[C@H1](O)[C@@H1](O)[C@H1](O)CO.[Br-1]
152,,,,,,,,-0.364563,-0.252807,-0.36436,-0.311755,0.35366,-0.460046,0.965047,9.89339,-3221.96775908,-3222.127707309766,,,,,,,,,,,,,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][O][Ring1][Branch2].[Br-1],C[N+1](C)(C)CC1=CC=C([N+1](=O)[O-1])O1.[Br-1]
157,,,,,,,,-0.321222,-0.22149,-0.320609,-0.283052,0.345166,-0.586235,0.94079,3.44319,-3299.37494994,-3299.838626057281,,,,,,,,,,,,,[C][C][C][C][C][N+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C].[Br-1],CCCCC[N+1](CCCC)(CCCC)CCCC.[Br-1]
159,,,,,,,,-0.356158,-0.154156,-0.355464,-0.33157,0.246478,-0.535881,0.671652,8.38141,-3338.74003843,-3339.23583175221,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][C][C].[Br-1],CCCCCCCC[N+1](C)(C)CCCCCCCC.[Br-1]
163,,,,,,,,-0.336935,-0.129998,-0.33873,-0.307974,0.242803,-0.469201,0.618568,13.94907,-3299.47299094,-3299.947747946363,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C].[Br-1],CCCCCCCCCCCCCC[N+1](C)(C)C.[Br-1]
164,,,,,,,,-0.314923,-0.139354,-0.314718,-0.312819,0.461996,-0.527206,0.700949,15.71011,-3880.6350191,-3881.393588750966,,,,,,,,,,,,,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O].[Br-1],CCCCCCCCCCCCCCC[N+1](C)(C)CCCCCCCCCCC(=O)O.[Br-1]
170,,,,,,,,-0.306589,-0.154478,-0.308424,-0.283658,0.408017,-0.530618,0.570682,11.1967,-3596.278367,-3596.675132861039,,,,,,,,,,,,,[C][C][N+1][Branch1][C][C][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1].[Br-1],CC[N+1](C)(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.[Br-1]
